,Country,Literacy rate,GDP per capita,GDP annual growth rate,mortality
1,Afghanistan,..,1981.118069,-0.5414162,51.3
6,Albania,..,12078.79974,3.48029322,8.4
11,Algeria,..,11624.34078,1.10457016,21.3
16,American Samoa,..,..,-1.5612049,..
21,Andorra,..,..,4.64621155,3.2
26,Angola,..,7103.226431,-5.8161875,55.6
31,Antigua and Barbuda,..,19920.26578,4.43725332,6.5
36,Argentina,99.12500763,20307.87005,-3.1100639,9.7
41,Armenia,..,10704.22976,-0.1613299,12.2
46,Aruba,..,37585.02508,1.58786875,..
51,Australia,..,47255.30701,1.14934746,3.2
56,Austria,..,52684.01711,0.89246914,3
61,Azerbaijan,99.79006195,14371.02274,-4.1771718,21.8
66,"Bahamas, The",..,34338.51956,-0.8948723,11.7
71,Bahrain,..,44768.97091,-0.3596393,6.3
76,Bangladesh,72.7587204,3848.957664,5.94667828,29.3
81,Barbados,..,15951.95868,2.30981203,12.7
86,Belarus,..,17785.9432,-2.6119138,2.9
91,Belgium,..,48597.39998,0.75526892,3.1
96,Belize,..,7236.930959,-2.0610666,12.5
101,Benin,..,3004.807805,0.52513074,63
106,Bermuda,..,76362.05141,0.3938692,..
111,Bhutan,..,10457.24438,6.83236706,26.4
116,Bolivia,..,7499.772741,2.73197635,23.9
121,Bosnia and Herzegovina,..,13072.13224,4.46265637,5.3
126,Botswana,..,16638.5205,5.09386203,33
131,Brazil,92.80844116,14256.16339,-4.0694109,14.6
136,British Virgin Islands,..,..,..,..
141,Brunei Darussalam,..,56297.22671,-3.6108986,9
146,Bulgaria,..,20074.2857,3.76506855,6.5
151,Burkina Faso,..,1895.295066,2.91366559,58
156,Burundi,..,796.9440834,-3.7083349,44.2
161,Cabo Verde,..,6322.913234,3.44413344,15.5
166,Cambodia,..,3675.03862,5.27260898,25.9
171,Cameroon,..,3527.165372,1.79128798,55.4
176,Canada,..,46472.34025,-0.1358426,4.5
181,Cayman Islands,..,66639.55106,1.84890054,..
186,Central African Republic,..,851.0726713,3.72277787,87.4
191,Chad,22.31155014,1664.512586,-9.1569422,74.4
196,Channel Islands,..,..,..,..
201,Chile,..,23437.59253,0.37209873,6.6
206,China,..,13483.37727,6.23821545,8.5
211,Colombia,94.65384674,13812.09606,0.70068864,13
216,Comoros,..,2863.852044,0.96206104,52.6
221,"Congo, Dem. Rep.",77.04267883,963.6692722,-0.9077236,71.8
226,"Congo, Rep.",..,3839.9616,-13.02043,37.6
231,Costa Rica,..,19075.00447,3.10830677,7.5
236,Cote d'Ivoire,..,4726.98074,4.49518428,63.9
241,Croatia,..,25210.8841,4.25801634,4.2
246,Cuba,..,..,0.42215161,4.1
251,Curacao,..,24808.40367,-2.0308791,..
256,Cyprus,..,35719.06637,5.95096582,2.1
261,Czech Republic,..,36097.70526,2.34055226,2.5
266,Denmark,..,51976.00571,2.44336887,3.5
271,Djibouti,..,4692.550689,4.91715159,52.7
276,Dominica,..,11949.53406,2.36664739,28.4
281,Dominican Republic,93.77845764,16109.86367,5.4686349,25.4
286,Ecuador,94.35022736,11034.26918,-2.8980188,12.7
291,"Egypt, Arab Rep.",..,11192.37301,2.1320153,19.2
296,El Salvador,88.14176941,8038.629794,2.0455334,12.7
301,Equatorial Guinea,..,20458.7786,-12.313593,66.1
306,Eritrea,..,..,..,33.1
311,Estonia,..,31312.7523,3.1255383,2.3
316,Eswatini,..,8705.84317,0.15939227,44
321,Ethiopia,..,1878.812682,6.50971204,41.2
326,Faroe Islands,..,..,..,..
331,Fiji,..,12631.9122,2.00247545,20.9
336,Finland,..,44934.44821,2.5163799,2
341,France,..,42924.61363,0.82905666,3.5
346,French Polynesia,..,..,1.75934561,..
351,Gabon,..,14286.1897,-0.9690405,34.3
356,"Gambia, The",..,2068.747801,-1.0580186,38.8
361,Georgia,..,12858.4834,2.84490205,9.1
366,Germany,..,50579.68393,1.40810208,3.3
371,Ghana,..,4992.730339,1.07696052,37.4
376,Gibraltar,..,..,..,..
381,Greece,..,27511.80102,-0.0724246,3.9
386,Greenland,..,..,4.54780858,..
391,Grenada,..,15025.68384,3.11869812,14.5
396,Guam,..,..,-0.4924624,..
401,Guatemala,..,8221.746427,0.98936575,22.9
406,Guinea,..,2078.641003,7.92853485,67.4
411,Guinea-Bissau,..,1746.752746,3.56652184,57.3
416,Guyana,..,11296.76997,3.27903021,26.7
421,Haiti,61.69134903,3084.033834,0.45587968,51.9
426,Honduras,88.98748016,5147.245133,2.12358099,15.9
431,"Hong Kong SAR, China",..,57221.41376,1.53864657,..
436,Hungary,..,27947.63769,2.49398512,4
441,Iceland,..,53480.39719,4.83829921,1.7
446,India,..,5839.864817,7.08222758,33.1
451,Indonesia,95.37696838,10494.4738,3.75883733,22.5
456,"Iran, Islamic Rep.",85.54425049,14011.54971,11.8687154,13.3
461,Iraq,83.30000305,9428.606621,10.5600975,23.9
466,Ireland,..,71498.60101,0.8968221,3.1
471,Isle of Man,..,..,6.87013528,..
476,Israel,..,37843.19463,2.43486114,3.1
481,Italy,..,39926.95466,1.46569044,2.9
486,Jamaica,..,9194.156739,0.84439041,13.1
491,Japan,..,40623.01866,0.87004694,2
496,Jordan,..,9445.916863,-1.077221,14.7
501,Kazakhstan,..,23818.82483,-0.3275146,9.8
506,Kenya,..,3930.893858,1.72098601,34.5
511,Kiribati,..,2206.48776,3.64094396,43.5
516,"Korea, Dem. People's Rep.",..,..,..,15.1
521,"Korea, Rep.",..,39575.45428,2.53914473,2.9
526,Kosovo,..,10007.68923,6.20362256,..
531,Kuwait,..,44685.49743,-0.2287103,7.3
536,Kyrgyz Republic,..,4681.174733,2.23180527,18.9
541,Lao PDR,..,6843.559583,5.38622284,40.4
546,Latvia,..,26721.7262,3.30741997,3.9
551,Lebanon,..,15535.50465,-1.1654178,6.8
556,Lesotho,..,2990.283703,2.78812909,72.3
561,Liberia,..,1429.792082,-4.0137087,65.2
566,Libya,..,11108.72368,-3.9011207,11
571,Liechtenstein,..,..,..,..
576,Lithuania,..,30925.17085,3.82984126,3.9
581,Luxembourg,..,113365.1761,2.7397918,2.4
586,"Macao SAR, China",96.5384903,114893.0153,-2.4181275,..
591,Madagascar,..,1606.667405,1.2348664,39.6
596,Malawi,..,1454.358941,-0.2556651,35.3
601,Malaysia,94.88057709,25546.12952,3.04160128,7
606,Maldives,97.7349472,17411.34725,1.73348692,8.1
611,Mali,..,2189.006622,2.74912774,65.2
616,Malta,..,39886.9498,1.73573001,6.1
621,Marshall Islands,..,3548.86888,0.82356772,28.6
626,Mauritania,..,4700.106262,-1.590183,53.8
631,Mauritius,93.15783691,20701.21897,3.76659648,12.8
636,Mexico,94.85961914,19323.66587,1.40302067,13.5
641,"Micronesia, Fed. Sts.",..,3373.957156,-0.3164992,26.9
646,Moldova,..,10610.47784,5.6146207,13.1
651,Monaco,..,..,2.55662076,2.8
656,Mongolia,..,10737.48613,-0.4336799,16.1
661,Montenegro,..,18199.33029,2.92545801,2.8
666,Morocco,..,7113.0046,-0.2866603,20.7
671,Mozambique,..,1363.674953,0.88471324,59.8
676,Myanmar,75.55120087,4031.179736,9.74847882,39.4
681,Namibia,..,10427.12176,-1.7964335,32.6
686,Nauru,..,13645.41063,2.58258545,28
691,Nepal,..,2989.675006,-0.481932,28.5
696,Netherlands,..,52288.41508,1.64931555,3.4
701,New Caledonia,..,..,..,..
706,New Zealand,..,39955.80303,1.42623836,4.4
711,Nicaragua,..,5694.054287,3.22379915,16
716,Niger,..,1153.339689,1.7372253,50.5
721,Nigeria,..,5234.679127,-4.1683884,78.5
726,North Macedonia,..,15137.96925,2.73585322,10.5
731,Northern Mariana Islands,..,..,28.2738518,..
736,Norway,..,58939.91261,0.18505968,2.1
741,Oman,94.89998627,28908.54054,0.02018616,9.7
746,Pakistan,..,4410.006565,3.34791165,60.5
751,Palau,..,18127.48261,-0.3822452,17.4
756,Panama,..,27828.55571,3.17045469,14.1
761,Papua New Guinea,..,4144.603632,3.3981628,38.8
766,Paraguay,94.65023804,12041.72354,2.89685661,18.3
771,Peru,94.17366791,12013.37739,2.42290485,11.6
776,Philippines,..,7703.762275,5.54671238,23.1
781,Poland,..,28322.10698,3.18607091,4
786,Portugal,..,31607.75424,2.34182322,3
791,Puerto Rico,..,34346.86733,0.66613335,..
796,Qatar,93.14530182,83102.3505,-0.3787245,6.4
801,Romania,..,24271.3661,5.30536397,7.1
806,Russian Federation,..,24128.08641,0.01024846,6.5
811,Rwanda,..,1882.37238,3.24843958,29.6
816,Samoa,..,6330.806285,7.5537705,14.1
821,San Marino,..,57455.56337,1.63264134,1.7
826,Sao Tome and Principe,..,3889.527518,2.22623331,25.8
831,Saudi Arabia,..,45484.43843,-0.6037696,6.7
836,Senegal,..,3075.937351,3.4118238,35.4
841,Serbia,98.84150696,15858.03564,3.88118476,5.2
846,Seychelles,..,25681.31271,3.17327021,12.7
851,Sierra Leone,..,1596.618799,3.78444419,88.6
856,Singapore,97.04956055,89417.34902,1.99706567,2.2
861,Sint Maarten (Dutch part),..,38230.03186,-2.3765293,..
866,Slovak Republic,..,29645.74189,1.80035278,5
871,Slovenia,..,33936.04406,3.1163466,1.9
876,Solomon Islands,..,2548.629965,3.09286869,18.4
881,Somalia,..,862.1464344,3.70089323,80.4
886,South Africa,..,13748.46142,-0.8063113,28.2
891,South Sudan,..,..,..,62.4
896,Spain,98.25051117,37286.21343,2.94434856,2.7
901,Sri Lanka,92.38690186,12224.21577,3.33842976,7
906,St. Kitts and Nevis,..,25893.51106,12.4614166,13.9
911,St. Lucia,..,14292.0817,3.12989137,19
916,St. Martin (French part),..,..,..,..
921,St. Vincent and the Grenadines,..,12456.04375,1.5895417,14.7
926,Sudan,..,4503.773122,1.11977916,44.2
931,Suriname,..,15062.44129,-5.8831531,17.6
936,Sweden,..,50430.25282,0.7961463,2.3
941,Switzerland,..,68105.15498,0.93688374,3.7
946,Syrian Arab Republic,..,..,-2.7567904,18
951,Tajikistan,..,3114.895558,4.31428456,32.1
956,Tanzania,..,2479.3341,3.7167712,39.8
961,Thailand,..,16616.195,3.05004793,8.9
966,Timor-Leste,..,3130.590713,1.4355267,41.9
971,Togo,..,1954.203573,2.93357911,49.5
976,Tonga,..,6195.840299,6.18851953,14.5
981,Trinidad and Tobago,..,26389.74167,-6.097326,17.1
986,Tunisia,..,10993.62548,0.00828616,14.7
991,Turkey,96.16732788,26512.01695,1.64246341,10.5
996,Turkmenistan,..,13862.27557,4.37907626,36.4
1001,Turks and Caicos Islands,..,26353.17023,5.55255843,..
1006,Tuvalu,..,3717.917274,1.81467168,22.2
1011,Uganda,..,2092.475566,1.01851489,37.6
1016,Ukraine,..,11148.19655,2.64805173,7.9
1021,United Arab Emirates,..,63968.88804,1.90520574,6.6
1026,United Kingdom,..,44635.29956,1.4913643,3.8
1031,United States,..,58021.4005,0.97701268,5.8
1036,Uruguay,98.56147003,22454.39483,1.32968121,7.2
1041,Uzbekistan,99.98657227,6796.904892,4.10607276,18.8
1046,Vanuatu,..,2918.596027,1.98124444,23.5
1051,"Venezuela, RB",97.12709045,..,..,21
1056,Vietnam,..,6572.976234,5.11813729,16.9
1061,Virgin Islands (U.S.),..,..,1.78607057,..
1066,West Bank and Gaza,96.7191925,6305.391803,6.44666146,17.9
1071,"Yemen, Rep.",..,..,-11.611137,43.3
1076,Zambia,..,3404.67399,0.70665943,45.8
1081,Zimbabwe,..,2806.469032,-0.7931054,41.4